ts_unix_ns,ticker,samples,latency_ns
1777427953209502861,0,512,294329
1777427953209788699,1,512,172381
1777427953209982220,2,512,158941
1777427953210160123,3,512,148359
1777427953210352136,4,512,150518
1777427953210532666,5,512,151305
1777427953210733306,6,512,168049
1777427953210913027,7,512,147143
1777427953211085760,8,512,143344
1777427953211283912,9,512,166433
1777427953211462975,10,512,148261
1777427953211645099,11,512,152455
1777427953211833069,12,512,156432
1777427953212011828,13,512,147716
1777427953212210212,14,512,169743
1777427953212391635,15,512,148862
1777427953212564681,16,512,145015
1777427953212741051,17,512,148142
1777427953212916003,18,512,145378
1777427953213089311,19,512,146849
1777427953213272671,20,512,154350
1777427953213451225,21,512,150240
1777427953213622010,22,512,143982
1777427953213800690,23,512,151915
1777427953213981079,24,512,150943
1777427953214153823,25,512,145780
1777427953214340356,26,512,148909
1777427953214512395,27,512,143899
1777427953214671715,28,512,132460
1777427953214881668,29,512,183087
1777427953215088314,30,512,172295
1777427953215276023,31,512,155367
1777427953215450411,32,512,145605
1777427953215621108,33,512,143283
1777427953215795003,34,512,147650
1777427953215970556,35,512,146886
1777427953216141126,36,512,143054
1777427953216331201,37,512,160999
1777427953216503486,38,512,142666
1777427953216671972,39,512,141311
1777427953216852761,40,512,154269
1777427953217027606,41,512,145940
1777427953217205665,42,512,150859
1777427953217385994,43,512,148936
1777427953217559511,44,512,146482
1777427953217737408,45,512,151214
1777427953217913760,46,512,146500
1777427953218082551,47,512,142052
1777427953218265376,48,512,153902
1777427953218445658,49,512,151154
1777427953218615012,50,512,141993
1777427953218787340,51,512,145561
1777427953218951710,52,512,138495
1777427953219113381,53,512,133702
1777427953219286946,54,512,145014
1777427953219453950,55,512,138224
1777427953219611502,56,512,131305
1777427953219779088,57,512,141741
1777427953219946962,58,512,139865
1777427953220115092,59,512,137809
1777427953220294922,60,512,150031
1777427953220467102,61,512,141999
1777427953220634409,62,512,138576
1777427953220809958,63,512,147960
1777427953220978996,64,512,138997
1777427953221148135,65,512,142262
1777427953221334434,66,512,149336
1777427953221508129,67,512,145434
1777427953221677177,68,512,142190
1777427953221860994,69,512,157600
1777427953222037339,70,512,148546
1777427953222221442,71,512,157685
1777427953222402894,72,512,149965
1777427953222576179,73,512,145858
1777427953222754839,74,512,152253
1777427953222919243,75,512,136188
1777427953223122644,76,512,172774
1777427953223342376,77,512,185182
1777427953223519661,78,512,143402
1777427953223691151,79,512,145683
1777427953223872048,80,512,148853
1777427953224041790,81,512,142356
1777427953224218953,82,512,151315
1777427953224398296,83,512,148754
1777427953224568484,84,512,143974
1777427953224747093,85,512,152612
1777427953224925688,86,512,149060
1777427953225098373,87,512,145847
1777427953225284217,88,512,157202
1777427953225459895,89,512,146624
1777427953225625932,90,512,139272
1777427953225802497,91,512,149745
1777427953225978508,92,512,146913
1777427953226149040,93,512,143820
1777427953226336017,94,512,149540
1777427953226505784,95,512,141574
1777427953226672776,96,512,140011
1777427953226852532,97,512,154011
1777427953227021650,98,512,140310
1777427953227201936,99,512,155520
1777427965209920301,0,512,342546
1777427965210197646,1,512,179986
1777427965210400725,2,512,166190
1777427965210597451,3,512,164391
1777427965210798748,4,512,169164
1777427965210991442,5,512,159872
1777427965211165598,6,512,143458
1777427965211353936,7,512,148623
1777427965211527844,8,512,143792
1777427965211726346,9,512,170061
1777427965211907233,10,512,149152
1777427965212078986,11,512,142836
1777427965212267410,12,512,157912
1777427965212444767,13,512,146232
1777427965212614377,14,512,140786
1777427965212792864,15,512,150597
1777427965212971181,16,512,147853
1777427965213162836,17,512,145674
1777427965213353256,18,512,151329
1777427965213527133,19,512,145696
1777427965213694784,20,512,141031
1777427965213878795,21,512,151670
1777427965214051725,22,512,144966
1777427965214238706,23,512,157174
1777427965214416368,24,512,148197
1777427965214579567,25,512,136412
1777427965214787905,26,512,176671
1777427965214987186,27,512,164311
1777427965215155467,28,512,141520
1777427965215346806,29,512,152969
1777427965215515807,30,512,141720
1777427965215681675,31,512,139688
1777427965215862936,32,512,154630
1777427965216035475,33,512,144679
1777427965216214649,34,512,151842
1777427965216394365,35,512,147672
1777427965216563497,36,512,142704
1777427965216743157,37,512,152707
1777427965216917865,38,512,144641
1777427965217088495,39,512,143745
1777427965217272528,40,512,154915
1777427965217446881,41,512,145332
1777427965217616368,42,512,142496
1777427965217795884,43,512,152218
1777427965217972423,44,512,146758
1777427965218142985,45,512,144075
1777427965218327343,46,512,156510
1777427965218499278,47,512,143248
1777427965218659044,48,512,133385
1777427965218822928,49,512,139295
1777427965218980789,50,512,131434
1777427965219142026,51,512,137218
1777427965219341109,52,512,167143
1777427965219527896,53,512,154391
1777427965219707551,54,512,149508
1777427965219891183,55,512,148176
1777427965220062305,56,512,140855
1777427965220244473,57,512,152319
1777427965220419009,58,512,143979
1777427965220591723,59,512,142218
1777427965220772924,60,512,152231
1777427965220947486,61,512,144564
1777427965221118586,62,512,141215
1777427965221307204,63,512,159039
1777427965221484657,64,512,148086
1777427965221657337,65,512,145157
1777427965221839425,66,512,155557
1777427965222014936,67,512,146233
1777427965222194068,68,512,151738
1777427965222375134,69,512,148742
1777427965222551352,70,512,148788
1777427965222727602,71,512,149231
1777427965222908750,72,512,151070
1777427965223078676,73,512,142831
1777427965223260971,74,512,152590
1777427965223440409,75,512,150522
1777427965223611981,76,512,144993
1777427965223787466,77,512,149363
1777427965223962358,78,512,145490
1777427965224134370,79,512,144558
1777427965224320198,80,512,157394
1777427965224493756,81,512,143700
1777427965224660314,82,512,138941
1777427965224841186,83,512,153022
1777427965225022745,84,512,151199
1777427965225204912,85,512,154494
1777427965225384011,86,512,146871
1777427965225557573,87,512,146242
1777427965225737031,88,512,152653
1777427965225915127,89,512,148592
1777427965226084357,90,512,142545
1777427965226272212,91,512,158983
1777427965226446946,92,512,145171
1777427965226615829,93,512,142477
1777427965226792059,94,512,149572
1777427965226967448,95,512,146673
1777427965227137487,96,512,143740
1777427965227318717,97,512,152799
1777427965227492541,98,512,149508
1777427965227692076,99,512,168340
1777427977210408412,0,512,323118
1777427977210686449,1,512,176684
1777427977210890840,2,512,165102
1777427977211073895,3,512,153568
1777427977211286859,4,512,177136
1777427977211484395,5,512,166058
1777427977211677286,6,512,163648
1777427977211866793,7,512,158340
1777427977212042093,8,512,145946
1777427977212219159,9,512,148692
1777427977212396320,10,512,143315
1777427977212567487,11,512,142525
1777427977212741225,12,512,144882
1777427977212915565,13,512,143086
1777427977213087687,14,512,143754
1777427977213273405,15,512,155728
1777427977213447936,16,512,145114
1777427977213618646,17,512,142949
1777427977213796948,18,512,150690
1777427977213973450,19,512,147056
1777427977214143518,20,512,141798
1777427977214331215,21,512,158731
1777427977214505309,22,512,145296
1777427977214675475,23,512,143448
1777427977214860141,24,512,157857
1777427977215034743,25,512,146427
1777427977215208058,26,512,146968
1777427977215389192,27,512,149180
1777427977215563340,28,512,146298
1777427977215740220,29,512,150626
1777427977215917452,30,512,147919
1777427977216085122,31,512,141562
1777427977216269857,32,512,155610
1777427977216446838,33,512,147317
1777427977216629271,34,512,141813
1777427977216807142,35,512,151059
1777427977216982492,36,512,145995
1777427977217153208,37,512,144089
1777427977217346215,38,512,153833
1777427977217517894,39,512,142749
1777427977217688414,40,512,143331
1777427977217870984,41,512,151889
1777427977218041617,42,512,141515
1777427977218219431,43,512,150970
1777427977218399644,44,512,148758
1777427977218570356,45,512,142295
1777427977218743629,46,512,146732
1777427977218919928,47,512,146522
1777427977219088301,48,512,140631
1777427977219265804,49,512,148135
1777427977219427141,50,512,136493
1777427977219590722,51,512,138815
1777427977219781302,52,512,160901
1777427977219970360,53,512,157543
1777427977220153629,54,512,153743
1777427977220338828,55,512,144844
1777427977220510069,56,512,141656
1777427977220673812,57,512,135082
1777427977220852322,58,512,150131
1777427977221024343,59,512,142121
1777427977221204058,60,512,150786
1777427977221379780,61,512,143817
1777427977221548353,62,512,141221
1777427977221721531,63,512,145862
1777427977221897607,64,512,145853
1777427977222068839,65,512,143602
1777427977222249629,66,512,151510
1777427977222426052,67,512,147313
1777427977222600308,68,512,146229
1777427977222788335,69,512,161826
1777427977222965589,70,512,147536
1777427977223136023,71,512,142948
1777427977223323305,72,512,158365
1777427977223497315,73,512,145408
1777427977223662327,74,512,138673
1777427977223838667,75,512,152537
1777427977224047253,76,512,173881
1777427977224237729,77,512,157390
1777427977224412991,78,512,144122
1777427977224585255,79,512,142729
1777427977224761136,80,512,149024
1777427977224936986,81,512,145951
1777427977225104545,82,512,140736
1777427977225288514,83,512,155335
1777427977225463178,84,512,146301
1777427977225631430,85,512,141602
1777427977225810315,86,512,152742
1777427977225983785,87,512,144393
1777427977226150999,88,512,139831
1777427977226336873,89,512,147780
1777427977226505738,90,512,140940
1777427977226672572,91,512,140904
1777427977226851639,92,512,153170
1777427977227022305,93,512,142143
1777427977227198128,94,512,148826
1777427977227376561,95,512,146150
1777427977227545598,96,512,141762
1777427977227720761,97,512,148621
1777427977227894576,98,512,142976
1777427977228051714,99,512,132929
1777427989210594275,0,512,306329
1777427989210861677,1,512,175006
1777427989211050301,2,512,155313
1777427989211250846,3,512,168534
1777427989211451596,4,512,167511
1777427989211656542,5,512,172911
1777427989211858033,6,512,168263
1777427989212035256,7,512,148011
1777427989212214566,8,512,150294
1777427989212396544,9,512,147850
1777427989212568904,10,512,144541
1777427989212745718,11,512,148165
1777427989212921859,12,512,146226
1777427989213092719,13,512,143495
1777427989213276589,14,512,154286
1777427989213453099,15,512,147091
1777427989213627399,16,512,147781
1777427989213807419,17,512,152875
1777427989213988218,18,512,151213
1777427989214160893,19,512,145935
1777427989214350646,20,512,151077
1777427989214525794,21,512,147497
1777427989214694460,22,512,142214
1777427989214874520,23,512,147129
1777427989215044523,24,512,141902
1777427989215224229,25,512,153205
1777427989215400965,26,512,147964
1777427989215605056,27,512,170682
1777427989215802338,28,512,166147
1777427989215975256,29,512,143034
1777427989216145336,30,512,142462
1777427989216332438,31,512,158159
1777427989216505527,32,512,144586
1777427989216677090,33,512,145643
1777427989216857927,34,512,155134
1777427989217031916,35,512,145704
1777427989217213593,36,512,154585
1777427989217393330,37,512,148743
1777427989217563469,38,512,143924
