metric,default,pinned,rt-fifo
calls,"     470,702","     466,568","     467,893"
rate (/sec),"      15,690","      15,552","      15,596"
p50 (ns),"      49,984","      50,533","      50,316"
p95 (ns),"      59,879","      59,806","      59,654"
p99 (ns),"      64,278","      63,946","      63,394"
p99.9 (ns),"      66,845","      67,232","      66,102"
p99.99 (ns),"      79,446","      78,162","      74,501"
max (ns),"     174,800","     102,911","     106,182"
mean (ns),"      51,254","      51,845","      51,617"
stddev (ns),"       3,854","       3,608","       3,550"
