cell_id,N,isa,kernel,n_samples,p50_us,p95_us,p99_us,p999_us,max_us,mean_us
N64-amx-on-default,64,amx-on,default,10000,22.958,26.426,31.459,37.822,43.217,23.370
N64-amx-off-default,64,amx-off,default,10000,39.569,46.664,48.230,56.168,63.767,40.264
N128-amx-on-default,128,amx-on,default,10000,32.741,39.660,42.978,52.113,65.920,33.362
N128-amx-off-default,128,amx-off,default,10000,160.420,171.551,174.284,181.978,194.682,162.483
N256-amx-on-default,256,amx-on,default,10000,84.555,99.474,106.917,120.493,209.160,86.736
N256-amx-off-default,256,amx-off,default,10000,1123.579,1133.590,1140.721,1237.268,1382.417,1124.623
N512-amx-on-default,512,amx-on,default,10000,553.878,570.196,582.224,699.110,964.970,553.199
N512-amx-off-default,512,amx-off,default,10000,8991.998,9357.795,9377.124,9434.183,9928.502,9061.915
N1024-amx-on-default,1024,amx-on,default,10000,4898.653,5307.066,5449.586,5670.620,6562.329,4951.111
N1024-amx-off-default,1024,amx-off,default,1707,70275.344,70759.345,71368.283,71992.360,72116.518,70312.911
N2048-amx-on-default,2048,amx-on,default,2810,43272.172,44059.861,44617.879,47473.695,49440.087,42705.169
N2048-amx-off-default,2048,amx-off,default,213,563300.580,571097.282,571327.310,572341.975,572341.975,564969.359
N4096-amx-on-default,4096,amx-on,default,281,427850.964,458758.290,464353.599,468322.719,468322.719,427165.524
N4096-amx-off-default,4096,amx-off,default,27,4503013.629,4508340.634,4509150.770,4509150.770,4509150.770,4503749.567
N64-amx-on-rt-fifo,64,amx-on,rt-fifo,10000,22.775,26.422,31.525,37.291,45.197,23.214
N64-amx-off-rt-fifo,64,amx-off,rt-fifo,10000,39.565,46.943,48.588,57.316,61.494,40.292
N128-amx-on-rt-fifo,128,amx-on,rt-fifo,10000,33.147,40.224,43.586,54.739,184.363,33.608
N128-amx-off-rt-fifo,128,amx-off,rt-fifo,10000,159.982,172.036,175.423,184.022,195.781,162.124
N256-amx-on-rt-fifo,256,amx-on,rt-fifo,10000,82.646,96.057,106.174,119.312,172.029,85.453
N256-amx-off-rt-fifo,256,amx-off,rt-fifo,10000,1124.703,1136.040,1145.289,1175.773,1225.190,1126.121
N512-amx-on-rt-fifo,512,amx-on,rt-fifo,10000,560.749,580.858,615.160,748.806,921.181,561.054
N512-amx-off-rt-fifo,512,amx-off,rt-fifo,10000,8817.924,8873.171,9334.855,9540.508,9600.438,8831.576
N1024-amx-on-rt-fifo,1024,amx-on,rt-fifo,10000,4934.176,5324.820,5370.570,5483.561,6619.397,4991.023
N1024-amx-off-rt-fifo,1024,amx-off,rt-fifo,1694,70409.042,73199.309,73712.392,73926.148,73964.550,70866.017
N2048-amx-on-rt-fifo,2048,amx-on,rt-fifo,2772,43559.551,44976.989,45464.391,46611.152,48384.866,43283.824
N2048-amx-off-rt-fifo,2048,amx-off,rt-fifo,214,561569.217,570624.912,574075.844,578720.728,578720.728,562875.362
N4096-amx-on-rt-fifo,4096,amx-on,rt-fifo,279,427833.998,456789.345,468478.151,474290.693,474290.693,430641.133
N4096-amx-off-rt-fifo,4096,amx-off,rt-fifo,27,4511052.528,4535573.246,4544759.517,4544759.517,4544759.517,4514963.313
